s01-01,adaptive_acc,"nqvypuevdv","8:17:25 AM","1/30/2006","9:08:12 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,8,55,0,"00:10:00","00:44:16",0,0,1,2,Low,0.878,0.094,0.028,0.15,High,0,0.006,0.994,1.994,Low,0.072,0.6,0.328,1.256,Medium,0.097,0.227,0.675,1.578,Low,0,0.01,0.99,1.99,Low,0,0.003,0.997,1.997,Low,0.002,0.321,0.678,1.676,Low,0.009,0.118,0.873,1.864,Low,0,0.016,0.984,1.983,Low,0.008,0.229,0.763,1.755,Low,0.068,0.474,0.458,1.39,Medium,0.471,0.442,0.088,0.617,High,0.063,0.186,0.751,1.688,Low,0.053,0.341,0.606,1.553,Low,0.001,0.061,0.938,1.937,Low,0.043,0.35,0.607,1.563,Low,0,0.03,0.97,1.97,Low
s01-02,adaptive_acc,"natryncrynrm","8:17:27 AM","1/30/2006","9:07:46 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,33,30,0,"00:10:00","00:44:48",0.005,0.562,0.433,1.428,Medium,0.9,0.079,0.022,0.122,High,0.027,0.118,0.855,1.828,Low,0.847,0.149,0.004,0.157,High,0.167,0.274,0.56,1.393,Low,0,0.039,0.961,1.96,Low,0.006,0.087,0.907,1.901,Low,0.962,0.038,0,0.038,High,0.059,0.218,0.723,1.664,Low,0.154,0.394,0.452,1.297,Low,0.828,0.167,0.004,0.176,High,0.192,0.529,0.279,1.087,Medium,0.7,0.254,0.046,0.346,High,0.176,0.274,0.55,1.374,Low,0.257,0.426,0.317,1.059,Medium,0.007,0.153,0.84,1.834,Low,0.068,0.28,0.652,1.583,Low,0.182,0.492,0.326,1.144,Medium
s01-03,adaptive_full,"naantbqobyq","8:17:22 AM","1/30/2006","9:01:12 AM",Adaptive,"No",full,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,12,51,0,"00:10:00","00:35:45",0,0.001,0.999,1.999,Low,0.878,0.094,0.028,0.15,High,0,0.014,0.986,1.985,Low,0.019,0.402,0.579,1.561,Low,0.097,0.227,0.675,1.578,Low,0,0.01,0.99,1.99,Low,0,0.005,0.995,1.995,Low,0.014,0.577,0.409,1.396,Medium,0.032,0.241,0.727,1.694,Low,0.065,0.274,0.661,1.596,Low,0.009,0.231,0.76,1.751,Low,0.068,0.474,0.458,1.39,Medium,0.471,0.441,0.088,0.617,High,0.063,0.186,0.751,1.688,Low,0.053,0.341,0.606,1.553,Low,0.021,0.229,0.75,1.729,Low,0.166,0.499,0.336,1.17,Medium,0.005,0.146,0.849,1.844,Low
s01-04,adaptive_acc,"pnffnaqenrinaf","8:17:30 AM","1/30/2006","8:53:41 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,21,42,0,"00:10:00","00:31:32",0.001,0.096,0.903,1.903,Low,0.882,0.091,0.027,0.145,High,0.002,0.02,0.978,1.977,Low,0.055,0.409,0.536,1.482,Low,0.109,0.235,0.656,1.547,Low,0,0.015,0.985,1.985,Low,0,0.019,0.981,1.98,Low,0.322,0.652,0.027,0.705,Medium,0.011,0.107,0.882,1.872,Low,0.013,0.14,0.847,1.834,Low,0.145,0.577,0.278,1.134,Medium,0.089,0.483,0.428,1.339,Medium,0.51,0.41,0.081,0.571,High,0.082,0.201,0.717,1.635,Low,0.088,0.355,0.557,1.469,Low,0.003,0.105,0.892,1.888,Low,0.028,0.267,0.705,1.678,Low,0.034,0.312,0.654,1.62,Low
s01-05,adaptive_acc,"qnavryebfraoret","8:17:25 AM","1/30/2006","9:02:11 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00",  63,"Exit","Geometric",63,  63,21,42,0,"00:10:00","00:37:52",0.033,0.794,0.173,1.139,Medium,0.91,0.071,0.019,0.109,High,0,0.015,0.985,1.984,Low,0.852,0.14,0.008,0.156,High,0.201,0.296,0.503,1.302,Low,0.001,0.056,0.943,1.942,Low,0,0.004,0.996,1.996,Low,0.701,0.291,0.007,0.306,High,0.014,0.184,0.802,1.789,Low,0.004,0.11,0.887,1.883,Low,0.041,0.424,0.535,1.494,Low,0.254,0.552,0.194,0.94,Medium,0.807,0.166,0.027,0.219,High,0.233,0.315,0.452,1.22,Low,0.361,0.457,0.182,0.82,Medium,0.003,0.098,0.899,1.897,Low,0.019,0.198,0.783,1.764,Low,0,0.037,0.962,1.962,Low
s01-06,adaptive_acc,"WbangunaNyinerm","8:16:18 AM","1/30/2006","8:38:32 AM",Adaptive,"No",Accuracy,"Time limit and number of items","00:45:00", 63,"Exit","Geometric",63, 63,19,44,0,"00:10:00","00:17:03",0,0.116,0.884,1.884,Low,0.883,0.091,0.027,0.144,High,0,0.003,0.997,1.997,Low,0.281,0.597,0.121,0.84,Medium,0.111,0.237,0.652,1.54,Low,0,0.016,0.984,1.984,Low,0,0.003,0.997,1.997,Low,0.439,0.546,0.016,0.577,Medium,0.001,0.045,0.954,1.953,Low,0.001,0.043,0.956,1.955,Low,0.008,0.227,0.765,1.757,Low,0.093,0.485,0.422,1.328,Medium,0.518,0.403,0.079,0.562,High,0.086,0.204,0.71,1.624,Low,0.095,0.358,0.547,1.452,Low,0.244,0.483,0.273,1.029,Medium,0.003,0.096,0.901,1.899,Low,0,0.031,0.969,1.969,Low
s01-07,adaptive_full,"wbfuhnybcrm","8:17:26 AM","1/30/2006","8:41:37 AM",Adaptive,"No",full,"Time limit and number of items","00:45:00",  63,"Exit","Geometric",63,  63,12,49,0,"00:10:00","00:17:23",0,0.002,0.998,1.998,Low,0.878,0.094,0.028,0.149,High,0,0.002,0.998,1.998,Low,0.019,0.402,0.579,1.56,Low,0.098,0.227,0.675,1.577,Low,0,0.01,0.99,1.99,Low,0,0.009,0.991,1.991,Low,0.044,0.788,0.168,1.124,Medium,0,0.026,0.973,1.973,Low,0.001,0.048,0.951,1.95,Low,0.008,0.227,0.765,1.757,Low,0.068,0.474,0.458,1.389,Medium,0.472,0.441,0.087,0.616,High,0.063,0.186,0.75,1.687,Low,0.054,0.341,0.605,1.551,Low,0.001,0.063,0.936,1.935,Low,0.001,0.075,0.923,1.922,Low,0,0.02,0.98,1.98,Low
s01-08,linear_full,"xryylxenxbjfxv","8:17:25 AM","1/30/2006","8:59:03 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,34,29,0,"00:10:00","00:35:31",0.69,0.307,0.003,0.313,High,0.926,0.06,0.014,0.089,High,0.001,0.046,0.952,1.951,Low,0.893,0.096,0.011,0.118,High,0.28,0.327,0.392,1.112,Low,0.885,0.111,0.004,0.119,High,0,0.029,0.97,1.97,Low,0.995,0.005,0,0.005,High,0.222,0.488,0.29,1.068,Medium,0.419,0.448,0.133,0.714,Medium,0.003,0.113,0.884,1.881,Low,0.42,0.506,0.074,0.654,Medium,0.943,0.051,0.006,0.063,High,0.382,0.362,0.256,0.874,High,0.683,0.28,0.037,0.354,High,0.945,0.054,0.001,0.056,High,0.284,0.449,0.268,0.984,Medium,0.028,0.282,0.691,1.663,Low
s01-09,linear_full,"xrivauhooneq","8:17:27 AM","1/30/2006","9:10:21 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,25,28,10,"00:10:00","00:44:60",0.258,0.622,0.119,0.861,Medium,0.915,0.068,0.018,0.103,High,0.009,0.086,0.905,1.896,Low,0.677,0.263,0.06,0.382,High,0.228,0.306,0.466,1.239,Low,0.015,0.193,0.792,1.778,Low,0,0.013,0.987,1.987,Low,0.981,0.019,0,0.019,High,0.127,0.334,0.539,1.412,Low,0.268,0.436,0.296,1.028,Medium,0.178,0.562,0.26,1.082,Medium,0.31,0.536,0.154,0.845,Medium,0.852,0.128,0.02,0.168,High,0.283,0.33,0.387,1.104,Low,0.47,0.396,0.134,0.665,High,0.28,0.488,0.232,0.952,Medium,0.162,0.346,0.491,1.329,Low,0.382,0.335,0.283,0.901,High
s01-10,linear_full,"xvzoreyltenffb","8:15:42 AM","1/30/2006","9:06:08 AM",Linear,"No",full,"Time limit and number of items","00:45:00",NA,"Exit","NA",63,63,28,35,0,"00:10:00","00:42:56",0.049,0.903,0.048,0.999,Medium,0.914,0.068,0.018,0.103,High,0.001,0.019,0.981,1.98,Low,0.962,0.037,0.001,0.039,High,0.218,0.306,0.476,1.259,Low,0.001,0.065,0.934,1.933,Low,0,0.004,0.996,1.996,Low,0.975,0.025,0,0.025,High,0.006,0.135,0.859,1.854,Low,0.001,0.067,0.932,1.931,Low,0.143,0.578,0.279,1.136,Medium,0.284,0.563,0.153,0.869,Medium,0.859,0.124,0.017,0.158,High,0.26,0.335,0.405,1.145,Low,0.412,0.471,0.117,0.705,Medium,0.561,0.386,0.052,0.491,High,0.004,0.096,0.9,1.895,Low,0,0.032,0.968,1.967,Low
